,charcoal,diatom,diatom surface sample,energy dispersive X-ray spectroscopy (EDS/EDX),geochemistry,geochronologic,insect,loss-on-ignition,macroinvertebrate,modern biochemistry,organic carbon,ostracode,ostracode surface sample,paleomagnetic,phytolith,plant macrofossil,pollen,pollen surface sample,specimen stable isotope,testate amoebae,vertebrate fauna,water chemistry,X-ray diffraction (XRD),X-ray fluorescence (XRF)
2007,0,0,0,0,0,0,0,157,367,0,0,0,0,0,0,2,1810,2419,0,0,3247,0,0,0
2008,0,0,0,0,0,2523,0,157,367,0,0,0,0,0,0,2,1810,2420,0,0,3270,0,0,0
2009,0,0,0,0,0,2523,0,157,367,0,0,0,0,0,0,2,1810,2420,0,0,3270,0,0,0
2010,0,0,0,0,0,2523,0,157,367,0,0,0,0,0,0,2,1810,2420,0,0,3271,0,0,0
2011,0,0,0,0,0,2529,0,157,367,0,0,0,0,0,0,2,1832,2440,0,0,3271,0,0,0
2012,0,0,0,0,0,2529,0,157,367,0,0,0,0,0,0,2,1832,2440,0,0,3271,0,0,0
2013,0,0,0,0,0,2530,0,157,367,0,0,0,0,0,0,2,1842,2440,0,0,3273,0,0,0
2014,58,0,0,0,7,2741,32,157,367,0,0,0,170,0,0,56,2021,2552,0,0,3317,172,0,0
2015,68,93,145,2,7,3210,96,161,370,0,1,7,282,0,0,117,2540,2552,0,0,3369,447,0,1
2016,87,147,627,2,9,3433,142,180,381,0,1,9,475,2,1,208,2656,2596,1,82,3457,1059,1,1
2017,89,212,636,2,9,3497,150,183,383,3,1,9,534,2,1,236,2689,2596,1,82,3503,1162,1,1
