"year","value","variable"
"2007",0,"charcoal"
"2008",0,"charcoal"
"2009",0,"charcoal"
"2010",0,"charcoal"
"2011",0,"charcoal"
"2012",568,"charcoal"
"2013",2231,"charcoal"
"2014",10445,"charcoal"
"2015",11831,"charcoal"
"2016",11831,"charcoal"
"2017",11831,"charcoal"
"2007",0,"chironomid"
"2008",0,"chironomid"
"2009",0,"chironomid"
"2010",0,"chironomid"
"2011",0,"chironomid"
"2012",0,"chironomid"
"2013",0,"chironomid"
"2014",0,"chironomid"
"2015",720,"chironomid"
"2016",720,"chironomid"
"2017",720,"chironomid"
"2007",0,"diatom"
"2008",0,"diatom"
"2009",0,"diatom"
"2010",0,"diatom"
"2011",0,"diatom"
"2012",0,"diatom"
"2013",26902,"diatom"
"2014",91920,"diatom"
"2015",248956,"diatom"
"2016",248956,"diatom"
"2017",248956,"diatom"
"2007",0,"diatom surface sample"
"2008",0,"diatom surface sample"
"2009",0,"diatom surface sample"
"2010",0,"diatom surface sample"
"2011",0,"diatom surface sample"
"2012",0,"diatom surface sample"
"2013",4504,"diatom surface sample"
"2014",29434,"diatom surface sample"
"2015",30054,"diatom surface sample"
"2016",30054,"diatom surface sample"
"2017",30054,"diatom surface sample"
"2007",0,"geochemistry"
"2008",0,"geochemistry"
"2009",0,"geochemistry"
"2010",0,"geochemistry"
"2011",0,"geochemistry"
"2012",82,"geochemistry"
"2013",82,"geochemistry"
"2014",1563,"geochemistry"
"2015",1615,"geochemistry"
"2016",1615,"geochemistry"
"2017",1615,"geochemistry"
"2007",0,"geochronologic"
"2008",0,"geochronologic"
"2009",0,"geochronologic"
"2010",0,"geochronologic"
"2011",0,"geochronologic"
"2012",0,"geochronologic"
"2013",0,"geochronologic"
"2014",0,"geochronologic"
"2015",0,"geochronologic"
"2016",0,"geochronologic"
"2017",0,"geochronologic"
"2007",0,"insect"
"2008",0,"insect"
"2009",0,"insect"
"2010",0,"insect"
"2011",0,"insect"
"2012",5753,"insect"
"2013",14343,"insect"
"2014",19801,"insect"
"2015",21611,"insect"
"2016",21611,"insect"
"2017",21611,"insect"
"2007",0,"insect modern"
"2008",0,"insect modern"
"2009",0,"insect modern"
"2010",0,"insect modern"
"2011",0,"insect modern"
"2012",0,"insect modern"
"2013",0,"insect modern"
"2014",0,"insect modern"
"2015",155,"insect modern"
"2016",155,"insect modern"
"2017",155,"insect modern"
"2007",11113,"loss-on-ignition"
"2008",11113,"loss-on-ignition"
"2009",11113,"loss-on-ignition"
"2010",11113,"loss-on-ignition"
"2011",11113,"loss-on-ignition"
"2012",11113,"loss-on-ignition"
"2013",13906,"loss-on-ignition"
"2014",23375,"loss-on-ignition"
"2015",24513,"loss-on-ignition"
"2016",24513,"loss-on-ignition"
"2017",24513,"loss-on-ignition"
"2007",421,"macroinvertebrate"
"2008",421,"macroinvertebrate"
"2009",421,"macroinvertebrate"
"2010",421,"macroinvertebrate"
"2011",421,"macroinvertebrate"
"2012",445,"macroinvertebrate"
"2013",738,"macroinvertebrate"
"2014",738,"macroinvertebrate"
"2015",753,"macroinvertebrate"
"2016",753,"macroinvertebrate"
"2017",753,"macroinvertebrate"
"2007",0,"modern biochemistry"
"2008",0,"modern biochemistry"
"2009",0,"modern biochemistry"
"2010",0,"modern biochemistry"
"2011",0,"modern biochemistry"
"2012",0,"modern biochemistry"
"2013",0,"modern biochemistry"
"2014",0,"modern biochemistry"
"2015",1020,"modern biochemistry"
"2016",1020,"modern biochemistry"
"2017",1020,"modern biochemistry"
"2007",0,"organic carbon"
"2008",0,"organic carbon"
"2009",0,"organic carbon"
"2010",0,"organic carbon"
"2011",0,"organic carbon"
"2012",0,"organic carbon"
"2013",1592,"organic carbon"
"2014",1592,"organic carbon"
"2015",1592,"organic carbon"
"2016",1592,"organic carbon"
"2017",1592,"organic carbon"
"2007",0,"ostracode"
"2008",0,"ostracode"
"2009",0,"ostracode"
"2010",0,"ostracode"
"2011",0,"ostracode"
"2012",0,"ostracode"
"2013",6285,"ostracode"
"2014",7224,"ostracode"
"2015",8668,"ostracode"
"2016",8668,"ostracode"
"2017",8668,"ostracode"
"2007",0,"ostracode surface sample"
"2008",0,"ostracode surface sample"
"2009",0,"ostracode surface sample"
"2010",0,"ostracode surface sample"
"2011",0,"ostracode surface sample"
"2012",732,"ostracode surface sample"
"2013",1321,"ostracode surface sample"
"2014",2129,"ostracode surface sample"
"2015",2410,"ostracode surface sample"
"2016",2410,"ostracode surface sample"
"2017",2410,"ostracode surface sample"
"2007",0,"paleomagnetic"
"2008",0,"paleomagnetic"
"2009",0,"paleomagnetic"
"2010",0,"paleomagnetic"
"2011",0,"paleomagnetic"
"2012",0,"paleomagnetic"
"2013",0,"paleomagnetic"
"2014",806,"paleomagnetic"
"2015",15344,"paleomagnetic"
"2016",15344,"paleomagnetic"
"2017",15344,"paleomagnetic"
"2007",0,"phytolith"
"2008",0,"phytolith"
"2009",0,"phytolith"
"2010",0,"phytolith"
"2011",0,"phytolith"
"2012",0,"phytolith"
"2013",0,"phytolith"
"2014",11,"phytolith"
"2015",11,"phytolith"
"2016",11,"phytolith"
"2017",11,"phytolith"
"2007",21,"plant macrofossil"
"2008",21,"plant macrofossil"
"2009",21,"plant macrofossil"
"2010",21,"plant macrofossil"
"2011",21,"plant macrofossil"
"2012",3530,"plant macrofossil"
"2013",4269,"plant macrofossil"
"2014",7617,"plant macrofossil"
"2015",10242,"plant macrofossil"
"2016",10242,"plant macrofossil"
"2017",10242,"plant macrofossil"
"2007",2112979,"pollen"
"2008",2112979,"pollen"
"2009",2112979,"pollen"
"2010",2114973,"pollen"
"2011",2123776,"pollen"
"2012",2323371,"pollen"
"2013",2842350,"pollen"
"2014",3088534,"pollen"
"2015",3336285,"pollen"
"2016",3336285,"pollen"
"2017",3336285,"pollen"
"2007",50106,"pollen surface sample"
"2008",50147,"pollen surface sample"
"2009",50147,"pollen surface sample"
