,charcoal,diatom,diatom surface sample,energy dispersive X-ray spectroscopy (EDS/EDX),geochemistry,geochronologic,insect,loss-on-ignition,macroinvertebrate,modern biochemistry,organic carbon,ostracode,ostracode surface sample,paleomagnetic,phytolith,plant macrofossil,pollen,pollen surface sample,specimen stable isotope,testate amoebae,vertebrate fauna,water chemistry,X-ray diffraction (XRD),X-ray fluorescence (XRF)
2007,0,0,0,0,0,0,0,11516,421,0,0,0,0,0,0,21,2114618,50132,0,0,51053,0,0,0
2008,0,0,0,0,0,0,0,11516,421,0,0,0,0,0,0,21,2114618,50173,0,0,51258,0,0,0
2009,0,0,0,0,0,0,0,11516,421,0,0,0,0,0,0,21,2114618,50173,0,0,51258,0,0,0
2010,0,0,0,0,0,0,0,11516,421,0,0,0,0,0,0,21,2114618,50173,0,0,51501,0,0,0
2011,0,0,0,0,0,0,0,11516,421,0,0,0,0,0,0,21,2116612,50696,0,0,51501,0,0,0
2012,0,0,0,0,0,0,0,11516,421,0,0,0,0,0,0,21,2116612,50696,0,0,51501,0,0,0
2013,0,0,0,0,0,0,0,11516,421,0,0,0,0,0,0,21,2125415,50696,0,0,51519,0,0,0
2014,2922,0,0,0,0,0,5753,11516,445,0,0,0,732,0,0,3530,2325010,54845,0,0,52260,2535,0,0
2015,4585,26907,4504,40,291,0,14343,14309,738,0,1592,6285,1321,0,0,4269,2844163,54845,0,0,54375,6341,0,4128
2016,12799,91968,29391,40,291,0,19801,23778,738,0,1592,7224,2129,806,11,7560,3090568,56078,222,5210,56447,14844,20229,4128
2017,13190,135512,30011,40,1882,0,20194,24323,753,1020,1592,7224,2323,806,11,8141,3122735,56078,222,5210,57374,16226,20229,4128
